,original,perturbated_noise3_0,upsampled_perturbated_noise3_0,downsampled_perturbated_noise3_0,perturbated_noise10_0,upsampled_perturbated_noise10_0,downsampled_perturbated_noise10_0,perturbated_noise100_0,upsampled_perturbated_noise100_0,downsampled_perturbated_noise100_0,upsampled_0,downsampled_0,perturbated_noise3_1,upsampled_perturbated_noise3_1,downsampled_perturbated_noise3_1,perturbated_noise10_1,upsampled_perturbated_noise10_1,downsampled_perturbated_noise10_1,perturbated_noise100_1,upsampled_perturbated_noise100_1,downsampled_perturbated_noise100_1,upsampled_1,downsampled_1
34031,5,5,,,5,,,5,,,,,5,9,9,5,9,9,5,9,9,14,7
34032,3,4,2,2,4,2,2,4,2,2,3,3,3,2,2,3,2,2,3,2,2,1,2
34033,1,1,3,3,1,3,3,1,3,3,2,2,0,3,3,0,3,3,0,3,3,8,7
34034,4,4,6,6,4,6,6,4,6,6,8,6,4,,,4,,,4,,,,
34035,1,1,2,2,1,2,2,1,2,2,10,8,0,,,0,,,0,,,,
34036,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
34037,1,1,1,1,1,1,1,1,1,1,1,1,0,6,6,0,6,6,0,6,6,9,8
34038,2,2,2,2,2,2,2,2,2,2,10,8,2,,,2,,,2,,,,
34039,1,1,6,6,1,6,6,1,6,6,8,6,0,,,0,,,0,,,,
34040,4,4,,,4,,,4,,,,,4,,,4,,,4,,,,
34041,4,4,,,4,,,4,,,,,4,3,3,4,3,3,4,3,3,2,4
34042,1,1,,,1,,,1,,,,,0,2,2,0,2,2,0,2,2,11,9
34043,1,1,0,0,1,0,0,1,0,0,0,0,0,,,0,,,0,,,,
34044,4,4,1,,4,1,,4,1,,1,,4,0,0,4,0,0,4,0,0,6,0
34045,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
34046,4,3,,,3,,,3,,,,,4,,,4,,,4,,,,
34047,1,1,7,7,1,7,7,1,7,7,9,7,0,8,8,0,8,8,0,8,8,13,11
